OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1
5;1;AFG;Afghanistan;5;Bamyan
6;1;AFG;Afghanistan;6;Daykundi
7;1;AFG;Afghanistan;7;Farah
9;1;AFG;Afghanistan;9;Ghazni
10;1;AFG;Afghanistan;10;Ghor
16;1;AFG;Afghanistan;16;Kapisa
18;1;AFG;Afghanistan;18;Kunar
21;1;AFG;Afghanistan;21;Logar
24;1;AFG;Afghanistan;24;Nuristan
25;1;AFG;Afghanistan;25;Paktika
27;1;AFG;Afghanistan;27;Panjshir
32;1;AFG;Afghanistan;32;Uruzgan
33;1;AFG;Afghanistan;33;Wardak
34;1;AFG;Afghanistan;34;Zabul
50;3;ALA;Åland;14;Sottunga
115;6;ASM;American Samoa;3;Unorganized
138;8;AGO;Angola;15;Moxico
140;8;AGO;Angola;17;Uíge
143;11;ATG;Antigua and Barbuda;2;Redonda
185;15;AUS;Australia;1;Ashmore and Cartier Islands
187;15;AUS;Australia;3;Coral Sea Islands
226;18;BHS;Bahamas;10;Crooked Island
235;18;BHS;Bahamas;19;Mayaguana
242;18;BHS;Bahamas;26;Rum Cay
247;18;BHS;Bahamas;31;Spanish Wells
310;27;BTN;Bhutan;1;Bumthang
312;27;BTN;Bhutan;3;Dagana
313;27;BTN;Bhutan;4;Gasa
315;27;BTN;Bhutan;6;Lhuentse
316;27;BTN;Bhutan;7;Monggar
318;27;BTN;Bhutan;9;Pemagatshel
319;27;BTN;Bhutan;10;Punakha
324;27;BTN;Bhutan;15;Trashigang
325;27;BTN;Bhutan;16;Trongsa
326;27;BTN;Bhutan;17;Tsirang
327;27;BTN;Bhutan;18;Wangduephodrang
328;27;BTN;Bhutan;19;Yangtse
329;27;BTN;Bhutan;20;Zhemgang
443;39;BDI;Burundi;6;Cibitoke
445;39;BDI;Burundi;8;Karuzi
461;40;KHM;Cambodia;7;Kâmpóng Thum
464;40;KHM;Cambodia;10;Kep
466;40;KHM;Cambodia;12;Krong Pailin
469;40;KHM;Cambodia;15;Otdar Mean Chey
471;40;KHM;Cambodia;17;Pouthisat
472;40;KHM;Cambodia;18;Preah Vihéar
476;40;KHM;Cambodia;22;Stœng Trêng
498;42;CAN;Canada;8;Nunavut
499;42;CAN;Canada;8;Nunavut
518;43;CPV;Cape Verde;14;São Miguel
522;43;CPV;Cape Verde;18;Santa Catarina do Fogo
537;46;CAF;Central African Republic;4;Haut-Mbomou
538;46;CAF;Central African Republic;5;Haute-Kotto
539;46;CAF;Central African Republic;6;Kémo
542;46;CAF;Central African Republic;9;Mbomou
543;46;CAF;Central African Republic;10;Nana-Grébizi
551;47;TCD;Chad;1;Barh el Ghazel
552;47;TCD;Chad;2;Batha
555;47;TCD;Chad;5;Ennedi Est
556;47;TCD;Chad;6;Ennedi Ouest
563;47;TCD;Chad;13;Mandoul
568;47;TCD;Chad;18;Salamat
569;47;TCD;Chad;19;Sila
571;47;TCD;Chad;21;Tibesti
860;71;GNQ;Equatorial Guinea;1;Annobón
861;71;GNQ;Equatorial Guinea;2;Bioko Norte
862;71;GNQ;Equatorial Guinea;3;Bioko Sur
863;71;GNQ;Equatorial Guinea;4;Centro Sur
864;71;GNQ;Equatorial Guinea;5;Kié-Ntem
866;71;GNQ;Equatorial Guinea;7;Wele-Nzas
909;77;FJI;Fiji;4;Rotuma
945;82;ATF;French Southern Territories;1;Îles Éparses
946;82;ATF;French Southern Territories;2;Îles Crozet
947;82;ATF;French Southern Territories;3;Îles Saint Paul et Amsterdam
959;84;GMB;Gambia;2;Lower River
1003;89;GRC;Greece;2;Athos
1011;90;GRL;Greenland;2;Northeast Greenland National Park
1069;95;GGY;Guernsey;5;Herm
1070;95;GGY;Guernsey;6;Jethou
1086;96;GNB;Guinea-Bissau;7;Oio
1087;96;GNB;Guinea-Bissau;8;Quinara
1088;96;GNB;Guinea-Bissau;9;Tombali
1104;98;GUY;Guyana;8;Potaro-Siparuni
1532;123;LAO;Laos;5;Houaphan
1534;123;LAO;Laos;7;Louang Namtha
